23096572;138934621	5;1642135681
23096572;138934621	5;1642135681
17741893;13419679	5;1623930458
21584134;50475522	5;1652453376
23096572;148000104	5;1644390003
21584134;140416372	5;1641355395
21584134;90622655	5;1652453449
23096572;90622655	5;1666773020
17741893;52788073	5;1639642454
23096572;52788073	5;1643955395
23096572;184466861	5;1668607275
17741893;56454898	5;1653791933
21584134;121635155	5;1632121892
21584134;72882555	5;1644476753
21584134;127522207	5;1631251336
23096572;87226759	5;1648563683
17741893;183058544	5;1666785745
23096572;76776246	5;1637673355
23096572;100931417	5;1637673420
23096572;149534866	5;1646017374
17741893;80628930	5;1648468567
23096572;8886002	5;1636117611
23096572;77230664	5;1641197017
21584134;77230664	5;1636088529
23096572;106863965	5;1636117555
21584134;106863965	5;1674025821
23096572;72459687	5;1669943807
23096572;54624821	5;1649230404
23096572;70016693	5;1635219341
21584134;186290793	5;1674025779
23096572;168293267	5;1668735830
17741893;58213081	5;1671769896
17741893;100376370	5;1639642404
17741893;5154513	5;1648468367
21584134;179063565	5;1674025637
21584134;74217683	5;1626101955
23096572;7982629	5;1633932490
23096572;100958460	5;1649230410
23096572;46240930	5;1637673470
21584134;54748900	5;1636088721
23096572;54748900	5;1634362373
23096572;157255753	5;1649230398
23096572;157255753	5;1649230398
17741893;126743460	5;1678082503
23096572;3876679	5;1636117020
23096572;187338037	5;1668735828
17741893;127538916	5;1666785740
21584134;76012204	5;1674025796
17741893;8886000	5;1631118595
21584134;8886000	5;1630484849
21584134;173748416	5;1656300606
17741893;187827005	5;1689765018
23096572;168283407	5;1668735832
21584134;76175425	5;1656300628
23096572;52329767	5;1643956013
23096572;52329766	5;1643956020
21584134;107802184	5;1631251160
21584134;125528588	5;1644469320
21584134;50668887	5;1674025734
23096572;50269974	5;1636117363
23096572;72001058	5;1668735834
23096572;145288030	5;1641789810
21584134;50751280	5;1674025618
23096572;109017987	5;1636117023
21584134;77900455	5;1674025645
17741893;74021318	5;1639642490
23096572;74021318	5;1634303558
23096572;87959749	5;1635219350
21584134;87226757	5;1674025662
23096572;8886008	5;1637673446
21584134;65029082	5;1638288468
23096572;149089471	5;1641197009
21584134;80463	5;1626753668
17741893;102629319	5;1633928355
21584134;102629319	5;1626147540
23096572;152875148	5;1658123616
17741893;3955615	5;1666785748
23096572;3955615	5;1644390358
23096572;121635153	5;1637673383
21584134;54266568	5;1674025809
23096572;54266568	5;1668995439
21584134;57761619	5;1644476880
17741893;8835160	5;1648468581
23096572;117254521	5;1636117162
21584134;117254521	5;1652453453
17741893;106863964	5;1678082507
17741893;641942	5;1689917413
23096572;238701	5;1638964573
17741893;55605171	5;1680413637
17741893;103640414	5;1633928176
21584134;116406679	5;1674025641
21584134;140360873	5;1652453331
21584134;140360873	5;1652453331
17741893;12377499	5;1653791951
23096572;142791755	1;1641285218
21584134;127844386	5;1674025803
23096572;94173459	5;1677255229
23096572;35191894	5;1636117334
23096572;21031781	5;1636117433
21584134;72628054	5;1674025790
23096572;72628054	5;1666773008
21584134;15267828	5;1636088597
17741893;15267828	5;1689765025
21584134;71907877	5;1674025731
23096572;77105731	5;1643955375
21584134;113530807	5;1644469066
1994386;123547399	5;1679030555
1994386;271972437	5;1711520219
1994386;271972437	5;1711520117
1994386;32033721	5;1666435299
1994386;84179662	5;1641183450
1994386;84179662	5;1641183450
1994386;101140834	5;1639206541
1994386;41340933	5;1639206541
1994386;71432	5;1637642376
1994386;73277932	5;1604819317
1994386;100989177	5;1639121783
1994386;116407261	5;1680166867
1994386;116410160	5;1645016628
1994386;41356465	5;1622696799
1994386;38438032	5;1680260501
1994386;36377565	5;1680260499
1994386;116410120	5;1651986214
15432859;81499981	5;1671523679
15432859;59262881	5;1620445237
15432859;10767516	5;1661130722
1994386;7369225	5;1593860980
15432859;51830751	5;1668494431
15432859;8885996	5;1671523787
1994386;8885996	5;1595656012
15432859;145288028	5;1661130690
15432859;160081253	5;1671523602
1994386;39001	5;1598198812
15432859;73787186	5;1671523909
1994386;73787186	5;1635479836
15432859;58627103	5;1671523886
15432859;112733083	5;1671523577
15432859;90622655	5;1668494484
1994386;90622655	5;1645370132
15432859;77900447	5;1639308592
15432859;184466861	5;1668494487
15432859;164091968	5;1615282185
15432859;161008716	5;1671523652
15432859;173763073	5;1661130710
15432859;173882439	5;1671523622
1994386;4040665	5;1593909964
15432859;106863965	5;1652554881
1994386;13446509	5;1615516435
1994386;54614798	5;1687761898
15432859;168293267	5;1652554832
15432859;165711007	5;1671523592
1994386;29878198	5;1593909960
15432859;7982629	5;1610709062
15432859;46240930	5;1671523743
15432859;54748900	5;1610709089
1994386;54748900	5;1593940217
15432859;138107487	5;1661130715
15432859;77774626	5;1671523699
1994386;10772070	5;1615516440
15432859;3876679	5;1671523644
15432859;187338037	5;1668494474
1994386;72102027	5;1615717525
1994386;45902242	5;1600943697
1994386;238688	5;1593861003
15432859;168283407	5;1652554822
15432859;3718337	5;1671523729
15432859;170708234	5;1668494425
