9165;143186002	5;1701660225
9165;73787186	5;1699881848
9165;72882555	5;1695121805
9165;52597664	5;1701660221
9165;100376370	5;1701660231
9165;7982629	5;1699065704
9165;111290701	5;1705210177
9165;138107487	5;1696671184
9165;77774626	5;1695217586
9165;158019965	5;1695114517
9165;45321631	5;1694360781
9165;59010154	5;1699065700
9165;48481764	5;1701660198
9165;168559523	5;1705210232
9165;167210780	5;1697556692
9165;73222805	5;1695183896
9165;127077158	5;1701660234
9165;184781430	5;1695114522
9165;184781430	5;1695114522
9165;196305160	4;1697620264
9165;69764542	5;1695211194
9165;152875148	5;1705210228
9165;95218570	5;1695172891
21500023;115436907	5;1644729013
21500023;59262881	5;1627917358
21500023;110448025	5;1630537774
21500023;50475522	5;1637308495
21500023;50475522	5;1637308495
21500023;77481098	5;1628075133
21500023;77481098	5;1628075133
21500023;52584835	5;1631004852
21500023;95218452	5;1631862966
21500023;1686731	5;1628002860
21500023;1686731	5;1628002860
21500023;104741664	5;1630998061
21500023;66698345	5;1628075620
21500023;66698345	5;1628075620
21500023;85763212	5;1628118839
21500023;111582627	5;1631862961
21500023;111582627	5;1631862961
21500023;72001058	5;1628073908
21500023;109017987	5;1631877779
21500023;9687410	5;1627916176
21500023;55119186	5;1627981661
21500023;102629319	5;1628086371
21500023;54266568	5;1628074768
21500023;76105911	5;1631885471
21500023;95218570	5;1630653080
21500023;3738175	4;1620813207
5979039;59262881	5;1669778739
5979039;11357194	5;1683368831
5979039;4781791	5;1684123613
5979039;73515860	5;1665135355
5979039;110448025	5;1665135381
5979039;113540579	5;1665135384
5979039;117595539	5;1683368835
5979039;73787186	5;1677146375
5979039;152740749	5;1665135326
5979039;58627103	5;1677146367
5979039;12533372	5;1665135312
5979039;95311764	5;1683368791
5979039;59478516	5;1665135333
5979039;73316978	5;1683368847
5979039;161008716	5;1665135268
5979039;100947283	5;1683368777
5979039;54624821	5;1712912868
5979039;155550593	4;1677146300
5979039;157255753	5;1712912834
5979039;126743460	5;1669778704
5979039;111290701	5;1680257833
5979039;67271339	5;1665135320
5979039;73316971	5;1665135375
5979039;52691751	5;1665135271
5979039;139979525	5;1665135266
5979039;139567623	5;1712912857
5979039;176909247	5;1665127627
5979039;184070224	5;1665135255
5979039;66712457	5;1665135317
5979039;184070222	5;1665135236
5979039;91120170	5;1683368852
5979039;126743466	5;1683368840
5979039;20520721	5;1665135366
5979039;145288030	5;1665135388
5979039;109017987	5;1677146372
5979039;87391040	5;1684123595
5979039;160488839	5;1677146348
5979039;74021318	5;1684123620
5979039;104314402	5;1665135386
5979039;126742912	5;1683368844
5979039;74277390	4;1669778729
5979039;170490711	5;1665135289
5979039;95218448	5;1665135350
5979039;72322887	5;1665135330
5979039;92996207	5;1665135359
5979039;95311758	5;1683368799
5979039;149257066	5;1677146357
5979039;73795266	5;1712912863
5979039;73795266	5;1712912863
5979039;111582632	5;1683368761
391764;7822715	4;1565436896
391764;52316719	5;1650195655
391764;52316719	5;1650195655
391764;197634253	5;1673286107
391764;133599627	5;1635493239
391764;191571531	5;1673286105
391764;198016659	5;1673286107
391764;198016659	5;1673286107
391764;192124400	5;1673286105
391764;196515662	5;1673286106
391764;197558908	5;1673286107
391764;194960724	5;1673286106
391764;197634258	5;1673286107
391764;197634258	5;1673286107
391764;192124394	5;1673286105
391764;197353400	5;1673286107
391764;197353400	5;1673286107
391764;189326214	5;1673286105
391764;189326214	5;1673286105
391764;196515667	5;1673286106
391764;196515667	5;1673286106
391764;195885691	5;1673286106
391764;195885691	5;1673286106
391764;196515669	5;1673286106
391764;196515669	5;1673286106
391764;189657597	5;1673286105
391764;189657597	5;1673286105
391764;125089637	5;1673286104
391764;194104225	5;1673286106
391764;194104225	5;1673286106
391764;196851311	5;1673286106
391764;196851311	5;1673286106
391764;196515666	5;1673286106
391764;185024357	5;1673286104
391764;197344457	5;1673286107
391764;192115861	5;1673286105
391764;192909293	5;1673286106
391764;188128049	5;1673286105
391764;193434495	5;1673286106
391764;193434495	5;1673286106
391764;194104220	5;1673286106
391764;196016782	5;1675582459
391764;196016782	5;1675582459
391764;197344445	5;1675582459
391764;197344445	5;1675582459
391764;194104233	5;1673286106
391764;194104233	5;1673286106
391764;196923454	5;1673286107
391764;196923454	5;1673286107
391764;196016786	5;1673286106
391764;195801663	5;1673286106
391764;193434493	5;1673286106
391764;190464441	5;1673286105
391764;52789368	5;1591977533
14156527;895120	4;1640350710
14156527;57762733	5;1604244594
14156527;51244266	5;1604244542
14156527;26114400	5;1603211682
14156527;52329862	5;1609485720
14156527;73787186	5;1656423768
14156527;13419679	5;1603211685
14156527;66067656	5;1603853950
14156527;56454898	5;1609485706
14156527;95311764	5;1645670823
14156527;72542476	5;1609331766
14156527;54003814	5;1603211693
14156527;22528675	5;1602821363
14156527;62648438	5;1650693102
14156527;10379318	5;1614742082
14156527;115897819	5;1656423745
14156527;52584835	5;1623912330
14156527;49722651	5;1651894636
14156527;71553538	5;1644304662
14156527;8886000	5;1609485757
14156527;168559525	5;1649041668
14156527;73810560	5;1641095260
14156527;11371250	5;1609485730
14156527;9687404	5;1609331761
14156527;73315372	5;1642342399
14156527;106149745	5;1641613100
14156527;95311758	5;1644565182
14156527;57870427	5;1603853911
14156527;52789368	5;1603211689
14156527;67491399	5;1628839092
14156527;56218386	5;1641268996
14156527;154245456	5;1653052214
14156527;15267828	5;1616509439
14156527;67991601	5;1604244529
22753154;197629366	5;1668346301
22753154;4781791	5;1668346320
22753154;73878874	5;1675066403
22753154;8885996	5;1663827886
22753154;92859699	5;1675401546
22753154;89585119	5;1675401543
22753154;190242073	5;1672017234
22753154;189643110	5;1668346322
22753154;111580007	5;1668346304
22753154;52788073	5;1668346333
22753154;184466861	5;1672017262
22753154;87226759	5;1675401549
22753154;72314471	5;1668346330
22753154;70016693	5;1668346273
22753154;114765006	5;1661833481
22753154;54614798	5;1668346341
22753154;100376370	5;1673275959
22753154;193211311	5;1661833469
22753154;56878837	5;1668951707
22753154;8886000	5;1668346337
22753154;104741664	5;1658972098
22753154;190242075	5;1659624678
22753154;66698345	5;1668346266
22753154;3718337	5;1673065227
22753154;109017987	5;1658495691
22753154;74021318	5;1668346326
22753154;127077158	5;1663827800
22753154;127077158	5;1663827800
22753154;52789368	5;1671068040
22753154;12377499	5;1666072507
22753154;142002265	4;1668951712
22753154;113530807	5;1663907903
27412408;4781791	5;1670235034
27412408;5411129	5;1661496354
27412408;194960731	5;1674181500
27412408;92859699	5;1674181511
27412408;89585119	5;1659659644
27412408;181131169	5;1675512494
27412408;52788073	4;1659659667
27412408;184466861	5;1670235031
27412408;103379149	5;1674788400
27412408;113540578	5;1674788385
27412408;1449791	5;1675942827
27412408;4313655	5;1674181530
27412408;196515669	5;1675512522
27412408;196515669	5;1675512522
27412408;176909223	5;1675942836
27412408;194104225	5;1675512509
27412408;194104225	5;1675512509
27412408;190705660	5;1675942832
27412408;190705660	5;1675942832
